date,Closing price
2019/6/28,239
2019/7/1,248.5
2019/7/2,249
2019/7/3,242.5
2019/7/4,244
2019/7/5,243
2019/7/8,242.5
2019/7/9,242
2019/7/10,247
2019/7/11,250
2019/7/12,250.5
2019/7/15,254.5
2019/7/16,256
2019/7/17,252
2019/7/18,254
2019/7/19,259
2019/7/22,264
2019/7/23,264
2019/7/24,265
2019/7/25,265
2019/7/26,261
2019/7/29,261
2019/7/30,260
2019/7/31,259.5
2019/8/1,256.5
2019/8/2,251.5
2019/8/5,246.5
2019/8/6,248.5
2019/8/7,248
2019/8/8,253.5
2019/8/12,251
2019/8/13,246.5
2019/8/14,249.5
2019/8/15,248
2019/8/16,250
2019/8/19,252
2019/8/20,254.5
2019/8/21,254.5
2019/8/22,254
2019/8/23,254
2019/8/26,248.5
2019/8/27,250
2019/8/28,252
2019/8/29,254
2019/8/30,259
2019/9/2,257.5
2019/9/3,254
2019/9/4,257.5
2019/9/5,263
2019/9/6,263.5
2019/9/9,265
2019/9/10,261.5
2019/9/11,263
2019/9/12,262.5
2019/9/16,265.5
2019/9/17,265
2019/9/18,267
2019/9/19,265
2019/9/20,264
2019/9/23,264
2019/9/24,265
2019/9/25,266
2019/9/26,268
2019/9/27,272
2019/10/1,280
2019/10/2,279.5
2019/10/3,276.5
2019/10/4,276.5
2019/10/7,278
2019/10/8,286.5
2019/10/9,282
2019/10/14,290
2019/10/15,293.5
2019/10/16,296.5
2019/10/17,293.5
2019/10/18,293
2019/10/21,290
2019/10/22,294
2019/10/23,293
2019/10/24,293
2019/10/25,293.5
2019/10/28,294.5
2019/10/29,298.5
2019/10/30,299.5
2019/10/31,298.5
2019/11/1,299
2019/11/4,307
2019/11/5,310.5
2019/11/6,311
2019/11/7,309
2019/11/8,305.5
2019/11/11,301
2019/11/12,305
2019/11/13,304
2019/11/14,303.5
2019/11/15,307
2019/11/18,311
2019/11/19,315
2019/11/20,313.5
2019/11/21,311
2019/11/22,309
2019/11/25,307
2019/11/26,307
2019/11/27,311
2019/11/28,309.5
2019/11/29,305
2019/12/2,307.5
2019/12/3,307
2019/12/4,306
2019/12/5,312
2019/12/6,313
2019/12/9,316
2019/12/10,313.5
2019/12/11,319
2019/12/12,331.5
2019/12/13,339
2019/12/16,336
2019/12/17,345
2019/12/18,344.5
2019/12/19,335
2019/12/20,329
2019/12/23,334
2019/12/24,332
2019/12/25,333
2019/12/26,333
2019/12/27,338
2019/12/30,334.5
2019/12/31,331
2020/1/2,339
2020/1/3,339.5
2020/1/6,332
2020/1/7,329.5
2020/1/8,329.5
2020/1/9,337.5
2020/1/10,339.5
