date,Closing price
2012/01/02,75.00
2012/01/03,75.70
2012/01/04,75.80
2012/01/05,76.00
2012/01/06,75.60
2012/01/09,75.60
2012/01/10,76.50
2012/01/11,76.50
2012/01/12,77.00
2012/01/13,77.50
2012/01/16,75.30
2012/01/17,75.60
2012/01/18,76.70
2012/01/30,78.70
2012/01/31,78.50
2012/02/01,77.00
2012/02/02,76.80
2012/02/03,76.20
2012/02/04,76.50
2012/02/06,77.40
2012/02/07,77.40
2012/02/08,77.50
2012/02/09,78.00
2012/02/10,76.90
2012/02/13,76.60
2012/02/14,77.30
2012/02/15,78.50
2012/02/16,78.50
2012/02/17,80.00
2012/02/20,80.00
2012/02/21,80.00
2012/02/22,79.70
2012/02/23,78.10
2012/02/24,79.10
2012/02/29,81.10
2012/03/01,80.10
2012/03/02,80.00
2012/03/03,79.30
2012/03/05,78.90
2012/03/06,79.50
2012/03/07,79.10
2012/03/08,79.70
2012/03/09,80.00
2012/03/12,80.00
2012/03/13,81.30
2012/03/14,83.20
2012/03/15,83.20
2012/03/16,81.10
2012/03/19,83.70
2012/03/20,83.20
2012/03/21,84.90
2012/03/22,85.20
2012/03/23,85.40
2012/03/26,83.60
2012/03/27,85.80
2012/03/28,85.50
2012/03/29,84.10
2012/03/30,84.90
2012/04/02,85.10
2012/04/03,85.00
2012/04/05,83.10
2012/04/06,83.80
2012/04/09,83.00
2012/04/10,82.00
2012/04/11,82.40
2012/04/12,82.60
2012/04/13,84.90
2012/04/16,84.90
2012/04/17,83.80
2012/04/18,85.00
2012/04/19,85.80
2012/04/20,84.30
2012/04/23,84.30
2012/04/24,84.60
2012/04/25,84.20
2012/04/26,84.00
2012/04/27,86.00
2012/04/30,86.80
2012/05/02,88.40
2012/05/03,88.90
2012/05/04,87.60
2012/05/07,85.60
2012/05/08,84.40
2012/05/09,84.60
2012/05/10,85.30
2012/05/11,85.50
2012/05/14,85.40
2012/05/15,85.50
2012/05/16,83.40
2012/05/17,85.10
2012/05/18,81.80
2012/05/21,82.50
2012/05/22,82.20
2012/05/23,79.10
2012/05/24,80.60
2012/05/25,80.00
2012/05/28,81.60
2012/05/29,82.30
2012/05/30,81.70
2012/05/31,85.10
2012/06/01,79.90
2012/06/04,76.50
2012/06/05,78.20
2012/06/06,77.80
2012/06/07,79.80
2012/06/08,77.90
2012/06/11,80.40
2012/06/12,79.40
2012/06/13,80.00
2012/06/14,79.20
2012/06/15,78.10
2012/06/18,80.80
2012/06/19,80.50
2012/06/20,81.60
2012/06/21,80.60
2012/06/22,80.10
2012/06/25,79.60
2012/06/26,78.70
2012/06/27,79.30
2012/06/28,79.90
2012/06/29,81.30
2012/07/02,83.30
2012/07/03,84.20
2012/07/04,81.20
2012/07/05,81.00
2012/07/06,80.90
2012/07/09,80.00
2012/07/10,79.10
2012/07/11,78.10
2012/07/12,75.70
2012/07/13,75.80
2012/07/16,75.50
2012/07/17,74.80
2012/07/18,74.80
2012/07/19,77.50
2012/07/20,76.70
2012/07/23,74.30
2012/07/24,74.80
2012/07/25,74.60
2012/07/26,76.30
2012/07/27,79.30
2012/07/30,79.00
2012/07/31,81.00
2012/08/01,80.00
2012/08/03,79.80
2012/08/06,80.90
2012/08/07,81.40
2012/08/08,80.50
2012/08/09,82.30
2012/08/10,82.00
2012/08/13,82.70
2012/08/14,83.20
2012/08/15,83.00
2012/08/16,82.90
2012/08/17,82.00
2012/08/20,82.40
2012/08/21,83.60
2012/08/22,82.40
2012/08/23,82.70
2012/08/24,82.00
2012/08/27,83.00
2012/08/28,82.40
2012/08/29,82.70
2012/08/30,82.70
2012/08/31,83.30
2012/09/03,83.90
2012/09/04,84.00
2012/09/05,82.00
2012/09/06,81.10
2012/09/07,83.80
2012/09/10,83.50
2012/09/11,84.40
2012/09/12,84.50
2012/09/13,85.00
2012/09/14,86.50
2012/09/17,86.50
2012/09/18,85.70
2012/09/19,86.00
2012/09/20,85.30
2012/09/21,85.70
2012/09/24,86.10
2012/09/25,85.90
2012/09/26,86.40
2012/09/27,87.60
2012/09/28,89.80
2012/10/01,88.90
2012/10/02,89.60
2012/10/03,89.80
2012/10/04,90.60
2012/10/05,91.00
2012/10/08,89.10
2012/10/09,87.10
2012/10/11,85.50
2012/10/12,86.30
2012/10/15,86.40
2012/10/16,87.50
2012/10/17,87.40
2012/10/18,88.10
2012/10/19,86.70
2012/10/22,86.00
2012/10/23,85.70
2012/10/24,85.40
2012/10/25,84.80
2012/10/26,87.30
2012/10/29,88.10
2012/10/30,88.00
2012/10/31,88.70
2012/11/01,89.20
2012/11/02,89.90
2012/11/05,90.30
2012/11/06,90.40
2012/11/07,91.00
2012/11/08,90.50
2012/11/09,90.80
2012/11/12,91.30
2012/11/13,90.30
2012/11/14,90.50
2012/11/15,90.20
2012/11/16,90.20
2012/11/19,90.00
2012/11/20,90.40
2012/11/21,90.50
2012/11/22,91.30
2012/11/23,95.50
2012/11/26,95.30
2012/11/27,96.30
2012/11/28,95.90
2012/11/29,96.50
2012/11/30,98.70
2012/12/03,97.90
2012/12/04,96.60
2012/12/05,96.90
2012/12/06,96.60
2012/12/07,98.10
2012/12/10,96.50
2012/12/11,98.30
2012/12/12,98.40
2012/12/13,99.20
2012/12/14,98.40
2012/12/17,97.00
2012/12/18,96.70
2012/12/19,97.30
2012/12/20,96.00
2012/12/21,94.80
2012/12/22,95.70
2012/12/24,95.20
2012/12/25,96.50
2012/12/26,96.00
2012/12/27,95.60
2012/12/28,97.00
2013/01/02,99.60
2013/01/03,101.00
2013/01/04,101.50
2013/01/07,100.50
2013/01/08,99.70
2013/01/09,100.00
2013/01/10,101.00
2013/01/11,101.00
2013/01/14,102.00
2013/01/15,100.50
2013/01/16,99.20
2013/01/17,99.30
2013/01/18,101.50
2013/01/21,100.50
2013/01/22,101.00
2013/01/23,101.00
2013/01/24,99.90
2013/01/25,99.00
2013/01/28,99.30
2013/01/29,101.00
2013/01/30,101.50
2013/01/31,101.50
2013/02/01,101.50
2013/02/04,103.00
2013/02/05,103.00
2013/02/06,105.00
2013/02/18,107.00
2013/02/19,107.00
2013/02/20,109.00
2013/02/21,107.00
2013/02/22,105.50
2013/02/23,107.00
2013/02/25,105.00
2013/02/26,103.50
2013/02/27,104.50
2013/03/01,105.00
2013/03/04,102.00
2013/03/05,104.00
2013/03/06,104.00
2013/03/07,103.00
2013/03/08,103.50
