date,Closing price
2016/1/4,139.5
2016/1/5,138
2016/1/6,135.5
2016/1/7,133
2016/1/8,134
2016/1/11,133
2016/1/12,133
2016/1/13,133.5
2016/1/14,131.5
2016/1/15,137
2016/1/18,137
2016/1/19,138
2016/1/20,134.5
2016/1/21,135
2016/1/22,138.5
2016/1/25,139.5
2016/1/26,137.5
2016/1/27,139.5
2016/1/28,140
2016/1/29,143
2016/1/30,142
2016/2/1,144
2016/2/2,142.5
2016/2/3,146
2016/2/15,145
2016/2/16,147.5
2016/2/17,148
2016/2/18,151
2016/2/19,151
2016/2/22,151
2016/2/23,149.5
2016/2/24,148
2016/2/25,150.5
2016/2/26,149
2016/3/1,152
2016/3/2,153
2016/3/3,154
2016/3/4,152.5
2016/3/7,152
2016/3/8,152
2016/3/9,153
2016/3/10,154.5
2016/3/11,155
2016/3/14,156
2016/3/15,154.5
2016/3/16,156
2016/3/17,158.5
2016/3/18,159.5
2016/3/21,160
2016/3/22,158.5
2016/3/23,159.5
2016/3/24,158.5
2016/3/25,158
2016/3/28,159
2016/3/29,159
2016/3/30,161.5
2016/3/31,162
2016/4/1,158.5
2016/4/6,153.5
2016/4/7,154.5
2016/4/8,157.5
2016/4/11,158.5
2016/4/12,158.5
2016/4/13,161.5
2016/4/14,161.5
2016/4/15,159.5
2016/4/18,158
2016/4/19,157.5
2016/4/20,154
2016/4/21,157
2016/4/22,156.5
2016/4/25,157.5
2016/4/26,158
2016/4/27,156.5
2016/4/28,153
2016/4/29,150
2016/5/3,147.5
2016/5/4,147
2016/5/5,147.5
2016/5/6,148
2016/5/9,147.5
2016/5/10,147
2016/5/11,147
2016/5/12,146
2016/5/13,144
2016/5/16,144.5
2016/5/17,147
2016/5/18,147
2016/5/19,147
2016/5/20,148.5
2016/5/23,154
2016/5/24,151
2016/5/25,154.5
2016/5/26,155
2016/5/27,156.5
2016/5/30,157
2016/5/31,156.5
2016/6/1,159
2016/6/2,159
2016/6/3,160.5
2016/6/4,160
2016/6/6,161
2016/6/7,162
2016/6/8,165.5
2016/6/13,162
2016/6/14,162
2016/6/15,163
2016/6/16,160.5
2016/6/17,163
2016/6/20,163
2016/6/21,165.5
2016/6/22,166
2016/6/23,164
2016/6/24,159
2016/6/27,155.5
2016/6/28,157
2016/6/29,159
2016/6/30,162.5
2016/7/1,166
2016/7/4,166
2016/7/5,164
2016/7/6,161.5
2016/7/7,164.5
2016/7/11,170
2016/7/12,171
2016/7/13,168.5
2016/7/14,169
2016/7/15,169.5
2016/7/18,169.5
2016/7/19,170.5
2016/7/20,170
2016/7/21,172
2016/7/22,171
2016/7/25,171.5
2016/7/26,173
2016/7/27,175
2016/7/28,176.5
2016/7/29,172.5
2016/8/1,177
2016/8/2,176
2016/8/3,172.5
2016/8/4,174.5
2016/8/5,177
2016/8/8,178
2016/8/9,178.5
2016/8/10,179.5
2016/8/11,176.5
2016/8/12,177.5
2016/8/15,179
2016/8/16,175.5
2016/8/17,177
2016/8/18,176
2016/8/19,174.5
2016/8/22,173
2016/8/23,174
2016/8/24,173.5
2016/8/25,177
2016/8/26,177
2016/8/29,176.5
2016/8/30,174.5
2016/8/31,176
2016/9/1,173.5
2016/9/2,174.5
2016/9/5,176.5
2016/9/6,179
2016/9/7,184
2016/9/8,183
2016/9/9,179.5
2016/9/10,178
2016/9/12,175
2016/9/13,175
2016/9/14,173.5
2016/9/19,182.5
2016/9/20,183
2016/9/21,184
2016/9/22,185.5
2016/9/23,187.5
2016/9/26,183
2016/9/29,185.5
2016/9/30,182.5
2016/10/3,186
2016/10/4,187
2016/10/5,186
2016/10/6,187.5
2016/10/7,188
2016/10/11,187.5
2016/10/12,189.5
2016/10/13,188.5
2016/10/14,188
2016/10/17,186.5
2016/10/18,187
2016/10/19,189.5
2016/10/20,190.5
2016/10/21,188.5
2016/10/24,191
2016/10/25,193
2016/10/26,191.5
2016/10/27,188.5
2016/10/28,189.5
2016/10/31,188.5
2016/11/1,189.5
2016/11/2,186
2016/11/3,184.5
2016/11/4,184.5
2016/11/7,189
2016/11/8,188.5
2016/11/9,182
2016/11/10,185.5
2016/11/11,181.5
2016/11/14,180.5
2016/11/15,180
2016/11/16,180
2016/11/17,181.5
2016/11/18,181
2016/11/21,181
2016/11/22,184
2016/11/23,185.5
2016/11/24,183
2016/11/25,182
2016/11/28,184
2016/11/29,182
2016/11/30,183
2016/12/1,183
2016/12/2,178
2016/12/5,179
2016/12/6,182
2016/12/7,181.5
2016/12/8,185.5
2016/12/9,186
2016/12/12,185
2016/12/13,186
2016/12/14,187.5
2016/12/15,187
2016/12/16,185
2016/12/19,182.5
2016/12/20,182.5
2016/12/21,180
2016/12/22,179
2016/12/23,178.5
2016/12/26,179.5
2016/12/27,180
2016/12/28,182
2016/12/29,180
2016/12/30,181.5
2017/1/3,183
2017/1/4,183
2017/1/5,183.5
2017/1/6,184
2017/1/9,184
2017/1/10,184
2017/1/11,182
2017/1/12,184.5
2017/1/13,181.5
2017/1/16,179.5
2017/1/17,181
2017/1/18,181
2017/1/19,180.5
2017/1/20,181
2017/1/23,185
2017/1/24,185.5
2017/2/2,184.5
2017/2/3,184.5
2017/2/6,184.5
2017/2/7,184.5
2017/2/8,183.5
2017/2/9,184
2017/2/10,185.5
2017/2/13,187.5
2017/2/14,187.5
2017/2/15,189
2017/2/16,189
2017/2/17,189.5
2017/2/18,189.5
2017/2/20,190
2017/2/21,190
2017/2/22,188.5
2017/2/23,188.5
2017/2/24,189
2017/3/1,186
2017/3/2,186
2017/3/3,184
2017/3/6,183.5
2017/3/7,185.5
2017/3/8,187
2017/3/9,184.5
2017/3/10,183.5
2017/3/13,186.5
2017/3/14,186
2017/3/15,186.5
2017/3/16,190
2017/3/17,191.5
2017/3/20,191.5
2017/3/21,195
2017/3/22,193.5
2017/3/23,193.5
2017/3/24,192.5
2017/3/27,193
2017/3/28,194.5
2017/3/29,191.5
2017/3/30,191.5
2017/3/31,189
2017/4/5,193
2017/4/6,191.5
2017/4/7,191
2017/4/10,190
2017/4/11,191
2017/4/12,191
2017/4/13,191.5
2017/4/14,189
2017/4/17,187.5
2017/4/18,188
2017/4/19,186.5
2017/4/20,187
2017/4/21,190
2017/4/24,190
2017/4/25,192
2017/4/26,191
2017/4/27,193
2017/4/28,194.5
2017/5/2,196.5
2017/5/3,198
2017/5/4,198
2017/5/5,197.5
2017/5/8,202.5
2017/5/9,203.5
2017/5/10,205.5
2017/5/11,207.5
2017/5/12,206
2017/5/15,206
2017/5/16,204.5
2017/5/17,204
2017/5/18,203.5
2017/5/19,203
2017/5/22,205
2017/5/23,205
2017/5/24,205.5
2017/5/25,207
2017/5/26,207
2017/5/31,203
2017/6/1,207
2017/6/2,209
2017/6/3,209
2017/6/5,212
2017/6/6,210.5
2017/6/7,211.5
2017/6/8,213
2017/6/9,212
2017/6/12,207.5
2017/6/13,208
2017/6/14,207
2017/6/15,208
2017/6/16,211.5
2017/6/19,213
2017/6/20,216.5
2017/6/21,215.5
2017/6/22,218
2017/6/23,217
2017/6/26,215
2017/6/27,211.5
2017/6/28,208.5
2017/6/29,210
2017/6/30,208.5
2017/7/3,209
2017/7/4,207
2017/7/5,208.5
2017/7/6,207.5
2017/7/7,206
2017/7/10,206
2017/7/11,212
2017/7/12,210.5
2017/7/13,214.5
2017/7/14,213
2017/7/17,213
2017/7/18,214
2017/7/19,214.5
2017/7/20,215.5
2017/7/21,214
2017/7/24,214.5
2017/7/25,214
2017/7/26,213
2017/7/27,215.5
2017/7/28,213
2017/7/31,214.5
2017/8/1,212
2017/8/2,216
2017/8/3,213.5
2017/8/4,213
2017/8/7,216
2017/8/8,217.5
2017/8/9,214.5
2017/8/10,214
2017/8/11,212.5
2017/8/14,211
2017/8/15,214
2017/8/16,213
2017/8/17,214
2017/8/18,212.5
2017/8/21,211.5
2017/8/22,214.5
2017/8/23,215.5
2017/8/24,217
2017/8/25,217.5
2017/8/28,216
2017/8/29,216
2017/8/30,217.5
2017/8/31,216.5
2017/9/1,216.5
2017/9/4,217.5
2017/9/5,218
2017/9/6,217
2017/9/7,217
2017/9/8,218
2017/9/11,217
2017/9/12,219
2017/9/13,218
2017/9/14,218.5
2017/9/15,218.5
2017/9/18,219.5
2017/9/19,221.5
2017/9/20,221.5
2017/9/21,221
2017/9/22,218.5
2017/9/25,217
2017/9/26,214
2017/9/27,215
2017/9/28,214
2017/9/29,216.5
2017/9/30,216.5
2017/10/2,220.5
2017/10/3,222.5
2017/10/5,224.5
2017/10/6,224.5
2017/10/11,233
2017/10/12,237.5
2017/10/13,237.5
2017/10/16,238
2017/10/17,235.5
2017/10/18,237.5
2017/10/19,239
2017/10/20,237.5
2017/10/23,239
2017/10/24,238
2017/10/25,238
2017/10/26,236
2017/10/27,239
2017/10/30,243
2017/10/31,243
2017/11/1,242.5
2017/11/2,241
2017/11/3,239
2017/11/6,239.5
2017/11/7,244
2017/11/8,242.5
2017/11/9,241
2017/11/10,240.5
2017/11/13,239.5
2017/11/14,240
2017/11/15,237.5
2017/11/16,238
2017/11/17,241.5
2017/11/20,238.5
2017/11/21,243
2017/11/22,242
2017/11/23,242.5
2017/11/24,244
2017/11/27,237
2017/11/28,234
2017/11/29,234.5
2017/11/30,226
2017/12/1,231
2017/12/4,234
2017/12/5,229.5
2017/12/6,227
2017/12/7,226.5
2017/12/8,227
2017/12/11,227.5
2017/12/12,227.5
2017/12/13,227
2017/12/14,230.5
2017/12/15,230
2017/12/18,227
2017/12/19,225
2017/12/20,224.5
2017/12/21,225
2017/12/22,227.5
2017/12/25,228.5
2017/12/26,226
2017/12/27,225
2017/12/28,226
2017/12/29,229.5
2018/1/2,232.5
2018/1/3,237
2018/1/4,239.5
2018/1/5,240
2018/1/8,242
2018/1/9,242
2018/1/10,236.5
2018/1/11,235
2018/1/12,237
2018/1/15,240
2018/1/16,240.5
2018/1/17,242
2018/1/18,248.5
2018/1/19,255.5
2018/1/22,261.5
2018/1/23,266
2018/1/24,258
2018/1/25,258
2018/1/26,255
2018/1/29,258.5
2018/1/30,253
2018/1/31,255
2018/2/1,259.5
2018/2/2,259.5
2018/2/5,253
2018/2/6,239
2018/2/7,240
2018/2/8,238.5
2018/2/9,232.5
2018/2/12,236.5
2018/2/21,242.5
2018/2/22,239.5
2018/2/23,245
2018/2/26,246.5
2018/2/27,246
2018/3/1,243
2018/3/2,240
2018/3/5,241.5
2018/3/6,250
2018/3/7,247
2018/3/8,249.5
2018/3/9,250.5
2018/3/12,254
2018/3/13,259
2018/3/14,257
2018/3/15,255
2018/3/16,255
2018/3/19,255
2018/3/20,253
2018/3/21,252.5
2018/3/22,251.5
2018/3/23,245
2018/3/26,243.5
2018/3/27,251
2018/3/28,245
2018/3/29,244
2018/3/30,246
2018/3/31,247.5
2018/4/2,246.5
2018/4/3,244
2018/4/9,245
2018/4/10,245.5
2018/4/11,248
2018/4/12,245
2018/4/13,244.5
2018/4/16,243.5
2018/4/17,238
2018/4/18,238
2018/4/19,244.5
2018/4/20,229
2018/4/23,226.5
2018/4/24,227
2018/4/25,225
2018/4/26,222
2018/4/27,223.5
2018/4/30,227
2018/5/2,223
2018/5/3,220.5
2018/5/4,223
2018/5/7,223.5
2018/5/8,228
2018/5/9,229.5
2018/5/10,229.5
2018/5/11,233
2018/5/14,233
2018/5/15,230.5
2018/5/16,230.5
2018/5/17,226.5
2018/5/18,223.5
2018/5/21,229
2018/5/22,229
2018/5/23,228.5
2018/5/24,229
2018/5/25,228.5
2018/5/28,227
2018/5/29,225
2018/5/30,221
2018/5/31,224
2018/6/1,224
2018/6/4,229
2018/6/5,229
2018/6/6,230
2018/6/7,230
2018/6/8,227
2018/6/11,226
